MDS_X,MDS_Y,C1_X,C1_Y
0.290711044,0.687713543,0.30898955,0.64528793
0.293647565,0.702708587,0.29131472,0.69177747
0.290711044,0.687713543,0.30898955,0.64528793
0.293647565,0.702708587,0.29131472,0.69177747
0.269046063,0.597863502,0.2706058,0.6116752
0.283017812,0.594307914,0.2733244,0.60195994
0.269046063,0.597863502,0.2706058,0.6116752
0.283017812,0.594307914,0.2733244,0.60195994
0.269046063,0.597863502,0.2706058,0.6116752
0.283017812,0.594307914,0.2733244,0.60195994
0.269046063,0.597863502,0.2706058,0.6116752
0.283017812,0.594307914,0.2733244,0.60195994
0.269046063,0.597863502,0.2706058,0.6116752
0.283017812,0.594307914,0.2733244,0.60195994
0.269046063,0.597863502,0.2706058,0.6116752
0.283017812,0.594307914,0.2733244,0.60195994
0.269046063,0.597863502,0.2706058,0.6116752
0.283017812,0.594307914,0.2733244,0.60195994
0.269046063,0.597863502,0.2706058,0.6116752
0.283017812,0.594307914,0.2733244,0.60195994
0.271093845,0.560038084,0.2716187,0.5726954
0.27500202,0.561222635,0.27437097,0.5920016
0.271093845,0.560038084,0.2716187,0.5726954
0.27500202,0.561222635,0.27437097,0.5920016
0.93773591,0.382027036,0.9443855,0.45767558
0.9377359,0.382026963,0.9443855,0.45767558
0.832029158,0.411928983,0.7871094,0.5623013
0.832029158,0.411928983,0.7871094,0.5623013
0.832029158,0.411928983,0.7871094,0.5623013
0.832029158,0.411928983,0.7871094,0.5623013
0.832029158,0.411928983,0.7871094,0.5623013
0.832029158,0.411928983,0.7871094,0.5623013
0.832029158,0.411928983,0.7871094,0.5623013
0.832029158,0.411928983,0.7871094,0.5623013
0.832029158,0.411928983,0.7871094,0.5623013
0.832029158,0.411928983,0.7871094,0.5623013
0.832029158,0.411928983,0.7871094,0.5623013
0.832029158,0.411928983,0.7871094,0.5623013
0.832029158,0.411928983,0.7871094,0.5623013
0.832029158,0.411928983,0.7871094,0.5623013
0.832029158,0.411928983,0.7871094,0.5623013
0.832029158,0.411928983,0.7871094,0.5623013
0.82522627,0.336928556,0.83527195,0.35310507
0.821535619,0.334589854,0.8184998,0.35390723
0.821535619,0.334589854,0.7947701,0.33047467
0.821535619,0.334589854,0.8184998,0.35390723
0.821535619,0.334589854,0.7947701,0.33047467
0.821535619,0.334589854,0.8184998,0.35390723
0.821535619,0.334589854,0.7947701,0.33047467
0.244476007,0.478565345,0.2772135,0.46128875
0.247891143,0.472196055,0.24871936,0.47576457
0.249654875,0.475328119,0.24514557,0.4736141
0.247891143,0.472196055,0.24871936,0.47576457
0.249654875,0.475328119,0.24514557,0.4736141
0.247891143,0.472196055,0.24871936,0.47576457
0.249654875,0.475328119,0.24514557,0.4736141
0.247891143,0.472196055,0.24871936,0.47576457
0.249654875,0.475328119,0.24514557,0.4736141
0.247891143,0.472196055,0.24871936,0.47576457
0.247891143,0.472196055,0.24871936,0.47576457
0.247891143,0.472196055,0.24871936,0.47576457
0.247891143,0.472196055,0.24871936,0.47576457
0.247891143,0.472196055,0.24871936,0.47576457
0.247891143,0.472196055,0.24871936,0.47576457
0.247891143,0.472196055,0.24871936,0.47576457
0.247891143,0.472196055,0.24871936,0.47576457
0.223178181,0.243398032,0.21885875,0.24885431
0.233580253,0.262703054,0.23866268,0.26636636
0.223178181,0.243398032,0.21885875,0.24885431
0.233580253,0.262703054,0.23866268,0.26636636
0.223178181,0.243398032,0.21885875,0.24885431
0.233580253,0.262703054,0.23866268,0.26636636
0.223178181,0.243398032,0.21885875,0.24885431
0.233580253,0.262703054,0.23866268,0.26636636
0.223178181,0.243398032,0.21885875,0.24885431
0.233580253,0.262703054,0.23866268,0.26636636
0.223178181,0.243398032,0.21885875,0.24885431
0.233580253,0.262703054,0.23866268,0.26636636
0.223178181,0.243398032,0.21885875,0.24885431
0.233580253,0.262703054,0.23866268,0.26636636
0.223178181,0.243398032,0.21885875,0.24885431
0.233580253,0.262703054,0.23866268,0.26636636
0.223178181,0.243398032,0.21885875,0.24885431
0.233580253,0.262703054,0.23866268,0.26636636
0.223178181,0.243398032,0.21885875,0.24885431
0.233580253,0.262703054,0.23866268,0.26636636
0.223178181,0.243398032,0.21885875,0.24885431
0.233580253,0.262703054,0.23866268,0.26636636
0.223178181,0.243398032,0.21885875,0.24885431
0.233580253,0.262703054,0.23866268,0.26636636
0.223178181,0.243398032,0.21885875,0.24885431
0.233580253,0.262703054,0.23866268,0.26636636
0.223178181,0.243398032,0.21885875,0.24885431
0.233580253,0.262703054,0.23866268,0.26636636
0.223178181,0.243398032,0.21885875,0.24885431
0.233580253,0.262703054,0.23866268,0.26636636
0.223178181,0.243398032,0.21885875,0.24885431
0.233580253,0.262703054,0.23866268,0.26636636
0.223178181,0.243398032,0.21885875,0.24885431
0.233580253,0.262703054,0.23866268,0.26636636
0.223178181,0.243398032,0.21885875,0.24885431
0.233580253,0.262703054,0.23866268,0.26636636
0.223178181,0.243398032,0.21885875,0.24885431
0.233580253,0.262703054,0.23866268,0.26636636
0.223178181,0.243398032,0.21885875,0.24885431
0.233580253,0.262703054,0.23866268,0.26636636
0.247891143,0.472196055,0.24871936,0.47576457
